ratify_refugee_convention_desc;난민지위협정은 1951년 국제연합에서 누가 난민인지 규정하고, 망명을 허가받은 개인의 권리와 망명을 허가할 국가의 책임을 규정한 다자간 조약입니다. 해당 협약은 전쟁범죄자들과 같이 난민 자격에 부적격한 사람들도 규정하며, 여행서류 소지자에게 무비자 여행을 제공합니다. 또한 난민을 차별할 수 없다는 내용도 담겼습니다.;The Convention Relating to the Status of Refugees, also known as the 1951 Refugee Convention, is a United Nations multilateral treaty that defines who is a refugee, and sets out the rights of individuals who are granted asylum and the responsibilities of nations that grant asylum. The Convention also sets out which people do not qualify as refugees, such as war criminals. The Convention also provides for some visa-free travel for holders of travel documents issued under the convention. This Convention also states that we cannot discriminate against refugees.;;;;;;;;x
end_refugee_convention_title;제네바 난민지위협정 탈퇴;Leave the Geneva Convention on Status of Refugees;;;;;;;;x
end_refugee_convention_desc;난민지위협정은 1951년 국제연합에서 누가 난민인지 규정하고, 망명을 허가받은 개인의 권리와 망명을 허가할 국가의 책임을 규정한 다자간 조약입니다. 해당 협약은 전쟁범죄자들과 같이 난민 자격에 부적격한 사람들도 규정하며, 여행서류 소지자에게 무비자 여행을 제공합니다. 또한 난민을 차별할 수 없다는 내용도 담겼습니다.;The Convention Relating to the Status of Refugees, also known as the 1951 Refugee Convention, is a United Nations multilateral treaty that defines who is a refugee, and sets out the rights of individuals who are granted asylum and the responsibilities of nations that grant asylum. The Convention also sets out which people do not qualify as refugees, such as war criminals. The Convention also provides for some visa-free travel for holders of travel documents issued under the convention. This Convention also states that we cannot discriminate against refugees.;;;;;;;;x
enact_travel_ban_illegal_title;임시적 난민입국금지 시행;Enact a Temporary Travel Ban on Refugees entering $COUNTRY$;;;;;;;;x
enact_travel_ban_illegal_desc;제네바 난민지위협정의 조인국이므로 난민입국금지조치가 난민차별금지 조항 위반에 해당합니다. 하지만 테러범들이 난민으로 위장해 밀입국하는 사태를 막으려면 입국금지라는 특단의 조치가 필요합니다.;As our nation is a signatory to the Geneva Convention on Status of Refugees, we are actually not allowed to issue such a ban as it would constitute a violation of the clause prohibiting the discrimination against refugees. However the Ban may still be vital to our nation to prevent possible terrorists smuggling themselves into the nation by posing as Refugees.;;;;;;;;x
enact_travel_ban_legal_title;임시적 난민입국금지 시행;Enact a Temporary Travel Ban on Refugees entering $COUNTRY$;;;;;;;;x
enact_travel_ban_legal_desc;제네바 난민지위협정의 조인국이 아니므로 난민입국금지조치를 시행할 수 있습니다. 테러범들이 난민으로 위장해 밀입국하는 사태를 막으려면 입국금지라는 특단의 조치가 필요합니다.;As our nation is not a signatory to the Geneva Convention on Status of Refugees, we are actually allowed to issue such a ban as it would constitute a violation of the clause prohibiting the discrimination against refugees. The Ban may be vital to our nation to prevent possible terrorists smuggling themselves into the nation by posing as Refugees.;;;;;;;;x
refugee_ban;임시적 난민입국금지;Temporary Refugee Entry Ban;;;;;;;;x
refugee_convention;제네바 난민지위협정 비준;Ratified the Geneva Convention Relating to the Status of Refugees;;;;;;;;x
un_armistice;국제연합 종전협정 수락;Accepted UN Armistice Agreement;;;;;;;;x
un_armistice_desc;최근 국제연합의 종전협정에 조인했으므로 해당 협정이 만료할 때까지는 전쟁을 선포할 수 없습니다.;As we have signed the United Nations armistice agreements to end our recent war, we are no longer able to declare war until the expiration of the agreements.;;;;;;;;x
one_china_policy_title;하나의 중국 정책 서명;Subscibe to the One China Policy;;;;;;;;x
one_china_policy_desc;하나의 중국 정책은 냉전시대에 중화인민공화국과 중화민국이 추진한 정책으로, 자신만이 중국의 유일한 합법정부라는 뜻을 가집니다. 해당 정책에 따라 1970년대까지 대부분의 서구권은 중화민국과 관계를 유지했고, 대부분의 동구권은 중화인민공화국과 관계를 유지했습니다. 중화민국은 중화인민공화국을 공산반군의 불법점거로 간주하는 반면, 중화인민공화국을 중화민국을 내전을 통해 자신들이 계승하면서 사라진 국가라고 주장했습니다. 2000년대 초부터 중화민국은 더이상 스스로를 중국의 유일합법정부로 묘사하지 않지만, 중화인민공화국의 입장은 2000년대 초까지 변하지 않았습니다. 그러나 2000년대 후반에 접어들면서 이들도 통일을 위해 해당 문제에 대한 입장을 누그러뜨리기 시작했습니다.;One China Policy, which was adopted during the Cold War, is that either the PRC or the ROC is the sole rightful government of all China and that the other government is illegitimate. While much of the western bloc maintained relations with the ROC until the 1970s under this policy, much of the eastern bloc maintained relations with the PRC. While the government of the ROC considered itself the remaining holdout of the legitimate government of a country overrun by what it thought of as Communist rebels, the PRC claimed to have succeeded the ROC in the Chinese Civil War. Though the ROC no longer portrays itself as the sole legitimate government of China, the position of the PRC remained unchanged until the early 2000s, when the PRC began to soften its position on this issue to promote Chinese reunification.;;;;;;;;x
one_china_policy;하나의 중국 정책;One China Policy;;;;;;;;x
end_one_china_policy_title;하나의 중국 정책 포기;End the One China Policy;;;;;;;;x
end_one_china_policy_desc;하나의 중국 정책은 냉전시대에 중화인민공화국과 중화민국이 추진한 정책으로, 자신만이 중국의 유일한 합법정부라는 뜻을 가집니다. 해당 정책에 따라 1970년대까지 대부분의 서구권은 중화민국과 관계를 유지했고, 대부분의 동구권은 중화인민공화국과 관계를 유지했습니다. 중화민국은 중화인민공화국을 공산반군의 불법점거로 간주하는 반면, 중화인민공화국을 중화민국을 내전을 통해 자신들이 계승하면서 사라진 국가라고 주장했습니다. 2000년대 초부터 중화민국은 더이상 스스로를 중국의 유일합법정부로 묘사하지 않지만, 중화인민공화국의 입장은 2000년대 초까지 변하지 않았습니다. 그러나 2000년대 후반에 접어들면서 이들도 통일을 위해 해당 문제에 대한 입장을 누그러뜨리기 시작했습니다.;One China Policy, which was adopted during the Cold War, is that either the PRC or the ROC is the sole rightful government of all China and that the other government is illegitimate. While much of the western bloc maintained relations with the ROC until the 1970s under this policy, much of the eastern bloc maintained relations with the PRC. While the government of the ROC considered itself the remaining holdout of the legitimate government of a country overrun by what it thought of as Communist rebels, the PRC claimed to have succeeded the ROC in the Chinese Civil War. Though the ROC no longer portrays itself as the sole legitimate government of China, the position of the PRC remained unchanged until the early 2000s, when the PRC began to soften its position on this issue to promote Chinese reunification.;;;;;;;;x
become_taiwan_title;대만 독립 수용;Embrace Taiwanese Independence;;;;;;;;x
become_taiwan_desc;대만 독립운동은 1952년 샌프란시스코 조약과 국제법을 통해 독립을 쟁취하려는 정치운동입니다. 이들은 일본이 대만과 펑후섬에 대한 모든 권리를 포기했을 때 이곳을 승계할 국가를 명시하지 않았으므로, 대만 주민이 자결을 통해 두 영토의 주권을 결정해야 한다고 주장합니다. 대만의 범록연맹은 해당 운동을 지지하지만, 1992년 합의에 따라 중화민국의 현상 유지를 꾀하거나, 점진적으로 중국 본토와 통일하려 하는 범람연맹은 이를 반대합니다. 중화인민공화국의 대만에 대한 주권 주장과 거듭된 군사적 위협으로 인해, 공식적인 독립선언은 대만과 중국 사이의 군사적 대립으로 이어질 수 있으며 미국과 일본 등 다른 나라들이 개입할 가능성도 있습니다.;Taiwan independence movement is a political movement whose goals for independence have arisen from international law in relation to the 1952 Treaty of San Francisco. They contend that when Japan renounced all rights to the island of Taiwan and Penghu, they did not specify the successor state, and consequently the sovereignty of the two territories should one day be determined by Taiwanese people through self-determination. This movement is supported by the Pan-Green Coalition in Taiwan, but opposed by the Pan-Blue Coalition which seeks to retain the somewhat ambiguous status quo of the ROC under the 1992 consensus, or gradually reunify with mainland China at some point. Due to the PRC's claim of sovereignty over Taiwan and repeated military threats made by the PRC, a formal declaration of independence could lead to a military confrontation between Taiwan and China, possibly escalating and involving other countries, such as the United States and Japan.;;;;;;;;x
EVTDESC1410159;대만 독립운동은 1952년 샌프란시스코 조약과 국제법을 통해 독립을 쟁취하려는 정치운동입니다. 이들은 일본이 대만과 펑후섬에 대한 모든 권리를 포기했을 때 이곳을 승계할 국가를 명시하지 않았으므로, 대만 주민이 자결을 통해 두 영토의 주권을 결정해야 한다고 주장합니다. 대만의 범록연맹은 해당 운동을 지지하지만, 1992년 합의에 따라 중화민국의 현상 유지를 꾀하거나, 점진적으로 중국 본토와 통일하려 하는 범람연맹은 이를 반대합니다. 중화인민공화국의 대만에 대한 주권 주장과 거듭된 군사적 위협으로 인해, 공식적인 독립선언은 대만과 중국 사이의 군사적 대립으로 이어질 수 있으며 미국과 일본 등 다른 나라들이 개입할 가능성도 있습니다.;Taiwan independence movement is a political movement whose goals for independence have arisen from international law in relation to the 1952 Treaty of San Francisco. They contend that when Japan renounced all rights to the island of Taiwan and Penghu, they did not specify the successor state, and consequently the sovereignty of the two territories should one day be determined by Taiwanese people through self-determination. This movement is supported by the Pan-Green Coalition in Taiwan, but opposed by the Pan-Blue Coalition which seeks to retain the somewhat ambiguous status quo of the ROC under the 1992 consensus, or gradually reunify with mainland China at some point. Due to the PRC's claim of sovereignty over Taiwan and repeated military threats made by the PRC, a formal declaration of independence could lead to a military confrontation between Taiwan and China, possibly escalating and involving other countries, such as the United States and Japan.;;;;;;;;x
EVTDESC1410155;핵무기 보유국 $FROMCOUNTRY$의 테러범들은 내전 상황을 이용 핵무기를 차지했고, 1억달러를 지불하지 않는다면 해당 핵무기를 수도에 발사하겠다고 협박해왔습니다. 1억달러를 지불하지 않고도 그들을 무력화하는 작전을 개시할 수 있지만, 위험을 감수해야 합니다.;Terrorists in Nuclear Power $FROMCOUNTRY$ have managed to take advantage of the ongoing Civil War there to sieze a Nuclear Bomb. They have now threatened to use the bomb on our nation unless we pay them a ransom of $1000000. If we do not, they will launch the bomb at our capital. We can choose to launch an operation to neutralise them without needing to pay the ransom but there will be a risk though.;;;;;;;;x
lawno_title;최소한의 전시 법적제한 시행;.Enact Minimal Wartime Restrictions on Citizens;;;;;;;;x
lawno_desc;오직 적들을 대신해 정부를 상대로 음모를 꾸몄다가 적발된 시민들의 권리만을 박탈합니다. 그렇지 않는 시민들은 $COUNTRY$의 헌법에 따라 자신들에게 주어진 완전한 시민적 자유를 누릴 것입니다.\n\n[SUB_A7]Y해당 수준에서의 변동사항:[SUB_A7]W\n[SUB_A7]G월간 염전도: -2.5\n여당 지지: +50%[SUB_A7]W;Citizens will only have their rights curtailed if they have been caught conspiring against the government on the enemies' behalf. Otherwise, citizens will contine to enjoy full civil liberties afforded to them under the constitution of $COUNTRY$.\n\n[SUB_A7]YThe modifiers for this level are:[SUB_A7]W\n[SUB_A7]GMonthly War Exhaustion: -2.5\nRuling Party Support: +50%[SUB_A7]W;;;;;;;;x
changelaw_title;전시 법적제한 개정;Revise Wartime Legal Restrictions on Citizens;;;;;;;;x
changelaw_desc;법과 전쟁에 대한 학문에서 시간은 선형적이고 비현실적인 것으로 보입니다. 세상에는 전시와 평시라는 두 가지 다른 종류의 시간이 있습니다. 역사적 발전은 한 시대에서 다른 시대로 이동하는 것입니다. 법은 시간에 따라 달라집니다. 시민과 국가의 관계, 권리의 범위, 정부 권력의 범위는 전시인지 평시인지에 달라 달라집니다.;In scholarship on law and war, time is seen as linear and episodic. There are two different kinds of time,  wartime and peacetime. Historical progression consists of moving from one kind of time to another (from wartime to peacetime to wartime, etc.). Law is thought to vary depending on what time it is. The relationship between citizen and state, the scope of rights, the extent of government power depends on whether it is wartime or peacetime.  A central metaphor is the swinging pendulum ?swinging from strong protection of rights and weaker government power to weaker protection of rights and stronger government power.;;;;;;;;x
lawhigh_title;전시 계엄령 시행;Enact Wartime Martial Law;;;;;;;;x
lawhigh_desc;계엄령은 군사통수권자가 독재적인 권력을 가진 상태에서 민간인을 포함한 모든 활동을 군대가 완전히 통제하는 제도입니다. 국민들 사이에 엄청난 분노를 불러일으키기 마련이지만, 또한 증가하는 반란을 진압하기에는 최적의 조치입니다.\n\n[SUB_A7]Y해당 수준에서의 변동사항:[SUB_A7]W\n[SUB_A7]G주민 불만도: -0.15%[SUB_A7]W\n[SUB_A7]R월간 염전도: +5\n여당 지지: -40%[SUB_A7]W;Martial law is a system of complete control by a country's military over all activities, including civilian, with the military commander having dictatorial powers. This is an extreme measure that will be bound to create immense resentment among our citizens but would also allow us to supress any growing rebellion.\n\n[SUB_A7]YThe modifiers for this level are:[SUB_A7]W\n[SUB_A7]GPop Militancy: -0.15%[SUB_A7]W\n[SUB_A7]RMonthly War Exhaustion: +5\nRuling Party Support: -40%[SUB_A7]W;;;;;;;;x
lawmedium_title;전시 시민적 자유 유예 시행;Enact Wartime Suspension of Civil Liberties;;;;;;;;x
lawmedium_desc;시민적 자유는 정부가 정당한 절차 없이는 축소할 수 없는 자유입니다. 언론, 종교, 표현, 집회, 연설의 자유, 고문과 실종으로부터의 자유 등이 그것입니다.\n\n[SUB_A7]Y해당 수준에서의 변동사항:[SUB_A7]W\n[SUB_A7]G주민 불만도: -0.1%[SUB_A7]W\n[SUB_A7]R월간 염전도: +2.5\n여당 지지: -20%[SUB_A7]W;Civil liberties or personal freedoms are those that the government cannot abridge without due process. They include the freedom of press, religion, expression, assembly, speech, and freedom from torture and disappearance.\n\n[SUB_A7]YThe modifiers for this level are:[SUB_A7]W\n[SUB_A7]GPop Militancy: -0.1%[SUB_A7]W\n[SUB_A7]RMonthly War Exhaustion: +2.5\nRuling Party Support: -20%[SUB_A7]W;;;;;;;;x
lawlow_title;제한적 전시 비상지휘권 시행;Enact Limited Wartime Emergency Powers;;;;;;;;x
lawlow_desc;비상사태 선포는 시민들에게 평범한 행동양식을 바꾸라고 경고하는 동시에 정부기관에 비상계획을 시행하라고 명령합니다. 이는 재난, 민란, 혹은 전쟁 선포나 무력충돌 상황에 따라 시행됩니다.;Declaring a state of emergency alerts citizens to change their normal behavior and orders government agencies to implement emergency plans, and can be done during a time of disaster, during a period of civil unrest, or following a declaration of war or situation of armed conflict.\n\n[SUB_A7]YThe modifiers for this level are:[SUB_A7]W\n[SUB_A7]GPop Militancy: -0.05%[SUB_A7]W\n[SUB_A7]RMonthly War Exhaustion: +1.25\nRuling Party Support: -10%[SUB_A7]W;;;;;;;;x
lawhigh;계엄령 발효 중;Martial law in effect;;;;;;;;x
lawmedium;시민적 자유 유예 발표 중;Civil liberty suspension in effect;;;;;;;;x
lawlow;비상지휘권 발효 중;Emergency powers in effect;;;;;;;;x
lawno;최소한의 법적 제한;Minimal wartime legal restrictions for citizens;;;;;;;;x
nuke_fallout;핵폭발로 인한 방사능 낙진;Nuclear Fallout;;;;;;;;x
EVTDESC1410153;핵조기경보체계가 경쟁 초강대국의 핵공격을 감지했습니다. 장성들은 너무 늦기 전인 지금이라도 보복해야 한다고 간언했습니다. 한편 정치 고문들은 상호확증파괴 이론에 따라 이유 없는 공격은 비논리적이라며 경보의 신뢰성을 의심하고 있습니다.;Our Nuclear Early Warning System has detected a nuclear attack from our rival superpower. Our military Generals have advised that we should retaliate back now before it is too late. Our political advisors are doubting the reliability of the warning as an unprovoked attack is illogical as per the theory of MAD.;;;;;;;;x
urbanisation_title;도시화 국가발전정책으로 설정;Set Urbanisation as our National Development Policy;;;;;;;;x
ruralisation_title;전원화 국가발전정책으로 설정;Set Ruralisation as our National Development Policy;;;;;;;;x
urbanisation_desc;도시는 돈, 서비스, 부와 기회가 집중된 곳입니다. 많은 시골 주민들은 돈을 벌고 사회적 지위를 바꾸기 위해 도시로 몰려듭니다. 일자리와 환전 자산을 제공하는 기업일수록 도심에 집중돼있습니다. 그 원천이 무역이든 관광이든 간에, 일반적으로 외화는 도시에 위치한 항구나 은행체계을 통해서 유입됩니다. 많은 사람들이 경제적 기회를 얻기 위해 도시로 이주하지만, 이것만이 최근 중국이나 인도와 같은 개발도상국의 매우 높은 도시화율을 충분히 설명하지는 못합니다. 과소문제도 도시화에 기여하는 요소입니다. 주로 작은 가족농장이나 마을의 집단농장과 같은 시골 지역은 (확실히 도시를 능가할 수도 있지만) 상대적이고 전반적인 삶의 질이 매우 주관적인데다 역사적으로 공산품에 접근하는 것이 어렵습니다.;In cities, money, services, wealth and opportunities are centralised. Many rural inhabitants come to the city to seek their fortune and alter their social position. Businesses, which provide jobs and exchange capital, are more concentrated in urban areas. Whether the source is trade or tourism, it is also through the ports or banking systems, commonly located in cities, that foreign money flows into a country. Many people move into cities for the economic opportunities, but this does not fully explain the very high recent urbanisation rates in places like China and India. Rural flight is a contributing factor to urbanisation. In rural areas, often on small family farms or collective farms in villages, it has historically been difficult to access manufactured goods, though the relative overall quality of life is very subjective, and may certainly surpass that of the city.;;;;;;;;x
